nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
271	2.53	2.53	1.00	NONTERMINATING	49	8	57	Fixpoint / Fixpoint
272	0.99	0.99	1.00	NONTERMINATING	90	8	98	Fixpoint / Fixpoint
273	2.99	2.99	1.00	NONTERMINATING	82	8	90	Fixpoint / Fixpoint
274	1.59	1.59	2.00	NONTERMINATING	151	8	159	Fixpoint / Fixpoint
275	0.84	0.84	1.00	NONTERMINATING	102	8	110	Fixpoint / Fixpoint
276	1.45	1.45	1.00	NONTERMINATING	129	8	137	Fixpoint / Fixpoint
277	1.38	1.38	2.00	NONTERMINATING	146	8	154	Fixpoint / Fixpoint
278	0.63	0.63	2.00	NONTERMINATING	205	8	213	Fixpoint / Fixpoint
279	0.66	0.66	1.00	NONTERMINATING	133	8	141	Fixpoint / Fixpoint
280	2.76	2.76	1.00	NONTERMINATING	6	27	33	Fixpoint / Fixpoint
281	1.80	43.24	2.00	NONTERMINATING	6	3	9	GNTA / GNTA
282	1.28	1.28	1.00	NONTERMINATING	14	12	26	Fixpoint / Fixpoint
283	2.63	2.63	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
284	1.10	1.10	1.00	NONTERMINATING	8	1	9	Fixpoint / Fixpoint
285	3.46	3.46	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
286	2.50	2.50	1.00	NONTERMINATING	5	3	8	Fixpoint / Fixpoint
287	1.44	1.44	1.00	NONTERMINATING	9	1	10	Fixpoint / Fixpoint
288	1.83	45.32	2.00	NONTERMINATING	5	1	6	GNTA / GNTA
289	2.70	2.70	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
290	2.91	2.91	1.00	NONTERMINATING	5	2	7	Fixpoint / Fixpoint
291	3.45	3.45	2.00	NONTERMINATING	5	5	10	Fixpoint / Fixpoint
292	1.87	45.92	1.00	NONTERMINATING	5	1	6	GNTA / GNTA
293	2.92	2.92	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
294	1.75	43.94	1.00	NONTERMINATING	6	1	7	GNTA / GNTA
295	1.97	44.90	2.00	NONTERMINATING	5	1	6	GNTA / GNTA
296	1.84	41.35	2.00	NONTERMINATING	5	1	6	GNTA / GNTA
297	2.76	2.76	1.00	NONTERMINATING	6	1	7	Fixpoint / Fixpoint
298	2.19	59.70	4.00	NONTERMINATING	5	1	6	GNTA / GNTA
299	3.15	3.15	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
300	2.24	40.85	1.00	NONTERMINATING	22	13	35	GNTA / GNTA
301	2.74	2.74	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
302	2.85	2.85	0.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
303	1.74	42.56	1.00	NONTERMINATING	20	12	32	GNTA / GNTA
304	3.00	3.00	2.00	NONTERMINATING	60	25	85	Fixpoint / Fixpoint
305	3.09	3.09	1.00	NONTERMINATING	64	33	97	Fixpoint / Fixpoint
306	3.45	3.45	1.00	NONTERMINATING	52	25	77	Fixpoint / Fixpoint
307	3.00	3.00	1.00	NONTERMINATING	68	25	93	Fixpoint / Fixpoint
308	3.08	3.08	1.00	NONTERMINATING	68	25	93	Fixpoint / Fixpoint
309	3.09	3.09	1.00	NONTERMINATING	52	25	77	Fixpoint / Fixpoint
310	3.17	3.17	1.00	NONTERMINATING	93	25	118	Fixpoint / Fixpoint
311	3.22	3.22	1.00	NONTERMINATING	20	18	38	Fixpoint / Fixpoint
312	2.78	2.78	1.00	NONTERMINATING	20	32	52	Fixpoint / Fixpoint
